Origin/Source,Company,Role/Title,Role Lane,Role Title Resolution,Date of first contact or application,Current/Final Status,Interview Count,Thread/Dedup Key,Notes/Uncertainty
LinkedIn recruiter/person outbound: per_c7f7673850f6 / UNKNOWN — agency client,UNKNOWN — agency client,"Sales Development Representative (Alpharetta, GA)",Sales Development & Business Development,Exact title present in source evidence,2026-01-05,GHOSTED,UNKNOWN,"UNKNOWN — agency client + Sales Development Representative (Alpharetta, GA) + 2026-01-05",LinkedIn thread with per_c7f7673850f6 (Recruiter (agency)); source stage: Ghosted; confidence: High. Agency pitch for an SDR role in Alpharetta on a 2-year contract. Not replied to. 2-year contract duration.
Application email: myworkday.com,SailPoint,"Account Executive, Enterprise Accounts","Account Executive, Sales & Sales Leadership",Exact title present in source evidence,2026-01-03,GHOSTED,UNKNOWN,"SailPoint + Account Executive, Enterprise Accounts + 2026-01-03",—
Jobright.ai application (Applied by Agent),Autodesk,"Sr. Sales Specialist, Fusion Enterprise","Account Executive, Sales & Sales Leadership",Exact title present in source evidence,2026-01-02,GHOSTED,UNKNOWN,"Autodesk + Sr. Sales Specialist, Fusion Enterprise + 2026-01-02",Jobright application log; United States; Remote; Senior Level; $155K/yr - $278K/yr.
Jobright.ai application (Applied by Agent),Axon,Key Account Executive,"Account Executive, Sales & Sales Leadership",Exact title present in source evidence,2026-01-02,GHOSTED,UNKNOWN,Axon + Key Account Executive + 2026-01-02,"Jobright application log; Atlanta, GA; Hybrid; Mid, Senior Level; $82K/yr - $138K/yr."
Jobright.ai application (Applied by Agent) → downstream confirmation: ATS: Ashby,Foursquare,"Account Executive, New Business","Account Executive, Sales & Sales Leadership",Exact title present in source evidence,2026-01-02,REJECTED,UNKNOWN,"Foursquare + Account Executive, New Business + 2026-01-02","— Jobright log: Applied by Agent; New York, NY; Hybrid; $95K/yr - $150K/yr."
Jobright.ai application (Applied by Agent) → downstream confirmation: Application email: myworkday.com,Thomson Reuters,"Account Executive, Tax or Risk","Account Executive, Sales & Sales Leadership",Exact title present in source evidence,2026-01-02,GHOSTED,UNKNOWN,"Thomson Reuters + Account Executive, Tax or Risk + 2026-01-02",— Jobright log: Applied by Agent; United States; Remote; $136K/yr - $254K/yr.
Jobright.ai application (Manual/Unspecified) → downstream confirmation: ATS: Ashby,Primer,Senior Business Development Manager - North America,Sales Development & Business Development,Exact title present in source evidence,2025-12-09,REJECTED,UNKNOWN,Primer + Senior Business Development Manager - North America + 2025-12-09,Role absent from confirmation and rejection. Jobright log: Manual/Unspecified; United States; Remote; Not stated.
ATS: Ashby,Linear,Account Executive (Growth),"Account Executive, Sales & Sales Leadership",Exact title present in source evidence,2025-12-08,REJECTED,UNKNOWN,Linear + Account Executive (Growth) + 2025-12-08,—
ATS: Greenhouse,Vonage,Sales Development Representative - API/CPaaS,Sales Development & Business Development,Exact title present in source evidence,2025-12-08,REJECTED,UNKNOWN,Vonage + Sales Development Representative - API/CPaaS + 2025-12-08,Earliest documented email is rejection; application date unknown.
Application email: agroknow.com,Agroknow,North America Sales,"Account Executive, Sales & Sales Leadership",Exact title present in source evidence,2025-11-25,REJECTED,UNKNOWN,Agroknow + North America Sales + 2025-11-25,Earliest documented email is rejection; interview not explicit.
LinkedIn recruiter/person outbound: per_be9ed474c455 / Capital Linguists,Capital Linguists,Part-time SDR/BDR (contractor),Sales Development & Business Development,Exact title present in source evidence,2025-11-23,GHOSTED,UNKNOWN,Capital Linguists + Part-time SDR/BDR (contractor) + 2025-11-23,"LinkedIn thread with per_be9ed474c455 (Recruiter (agency)); source stage: Ghosted; confidence: High. Part-time SDR/BDR contractor pitch (outreach, pipeline, HubSpot) for a translation/interpretation company. Not replied to."
LinkedIn recruiter/person outbound: Outlier / Outlier,Outlier,Short-term image annotation (freelance),"Research, Education, Freelance & Other",Exact title present in source evidence,2025-11-21,GHOSTED,UNKNOWN,Outlier + Short-term image annotation (freelance) + 2025-11-21,"LinkedIn thread with Outlier (Recruiter (platform)); source stage: Ghosted; confidence: Medium. Gig-platform pitch for flexible-hours AI training work. Not replied to. Gig/contract, not a role."
LinkedIn application,Insignia Assets,Head of Digital,"Product, Technical & AI",Exact title present in source evidence,2025-11-18,GHOSTED,UNKNOWN,Insignia Assets + Head of Digital + 2025-11-18,LinkedIn application export; job ID 4323010631; http://www.linkedin.com/jobs/view/4323010631
LinkedIn recruiter/person outbound: per_a530a533299b / Unknown,Unknown,"AI Enablement Specialist (Atlanta, hybrid)","Enablement, Adoption & Education",Exact title present in source evidence,2025-11-07,GHOSTED,UNKNOWN,"Unknown + AI Enablement Specialist (Atlanta, hybrid) + 2025-11-07",LinkedIn thread with per_a530a533299b (Recruiter (agency)); source stage: Ghosted; confidence: High. Bare-bones agency pitch; you replied 'tell me about it' — no response.
LinkedIn recruiter/person outbound: per_d6d740bb1b83 / Ambient.ai,Ambient.ai,"GTM Engineer (first-ever, remote)",GTM Engineering,Exact title present in source evidence,2025-10-09,GHOSTED,UNKNOWN,"Ambient.ai + GTM Engineer (first-ever, remote) + 2025-10-09","LinkedIn thread with per_d6d740bb1b83 (Recruiter (internal, Talent Sourcer)); source stage: Ghosted; confidence: High. Strong inbound: Ambient.ai (YC + a16z backed, F100 security customers) hiring their FIRST GTM Engineer. You asked sharp questions about team composition; she answered (8 BDRs, 2 PMMs, 1 RevOps) — then the thread died. Ashby job link shared. One of the highest-fit inbound threads that still fizzled."
LinkedIn recruiter/person outbound: per_aec4f99dfc89 / UNKNOWN — Flexton client,UNKNOWN — Flexton client,Enablement Lead,"Enablement, Adoption & Education",Exact title present in source evidence,2025-10-02,GHOSTED,UNKNOWN,UNKNOWN — Flexton client + Enablement Lead + 2025-10-02,"LinkedIn thread with per_aec4f99dfc89 (Recruiter (agency, Flexton Inc.)); source stage: Ghosted; confidence: High. Flexton Sr. Technical Recruiter pitched an Enablement Lead role. You said 'Lmk! Open to opps,' she sent the JD, and you asked about the rate split ('82% of 85 or of 65 dollars an hour lol'). Thread ends. Hourly contract rate in the $65–85/hr band implied."
LinkedIn recruiter/person outbound: per_4ac9a3152740 / UNKNOWN — financial agency,UNKNOWN — financial agency,Financial professional (remote),Financial Services & Advisory,Exact title present in source evidence,2025-09-24,GHOSTED,UNKNOWN,UNKNOWN — financial agency + Financial professional (remote) + 2025-09-24,LinkedIn thread with per_4ac9a3152740 (Recruiter (agency)); source stage: Ghosted; confidence: Medium. 'People with your skills tend to do great in our industry' — financial agency expansion pitch. Not replied to.
Cold outreach I initiated via LinkedIn: per_c2fa784a3619 / Stealth US startup,Stealth US startup,GTM Engineer,GTM Engineering,Resolved from per_c2fa784a3619's public hiring post and the matching message sequence,2025-08-31,GHOSTED,UNKNOWN,Stealth US startup + GTM Engineer + 2025-08-31,LinkedIn thread with per_c2fa784a3619 (Internal Employee); source stage: Ghosted; confidence: Medium. You reached out (video message); Alex passed your message to 'the guy who's in charge of the hiring process' and asked for workflows/Loom videos or projects. No further thread activity. Asked for portfolio artifacts as proof of work. Evidence amendment accepted 2026-08-30: per_c2fa784a3619's public post requested a GTM Engineer for a stealth US startup; the matching message sequence followed days later.
Recruiter outbound: per_2090f1d4a0d2 / Strategic Employment,Unknown AI SaaS biotech company via per_a02182d1f7af,Account Executive,"Account Executive, Sales & Sales Leadership",Exact title present in source evidence,2025-08-28,GHOSTED,UNKNOWN,Unknown AI SaaS biotech company via Strategic Employment + Account Executive + 2025-08-28,Personalized recruiter outreach for a remote AE role; exact client name unknown. No reply/application/interview evidence; GHOSTED is the closest available taxonomy bucket for an inactive 21+ day outreach thread.
LinkedIn recruiter/person outbound: per_34d052de57d1 / WorkOS,WorkOS,GTM Engineer (remote),GTM Engineering,Exact title present in source evidence,2025-08-25,GHOSTED,UNKNOWN,WorkOS + GTM Engineer (remote) + 2025-08-25,"LinkedIn thread with per_34d052de57d1 (Recruiter (agency)); source stage: Ghosted; confidence: High. Agency recruiter pitched WorkOS's GTM Engineer role ($160k–$185k + equity, $95M funded, Greenoaks-backed). You said 'Would love to talk.' He sent a booking link; no evidence the call happened. $160–185k + equity. Booking via cal.com link."
Community origin — GTM per_b37e658c1fd8 → per_02db18882e51 / Mixmax,Mixmax,GTM Engineer (contract),GTM Engineering,Exact title present in source evidence,2025-08-13,OFFER,1,Mixmax + GTM Engineer (contract) + 2025-08-13,The full LinkedIn export directly confirms per_02db18882e51 asked on 2025-08-13 whether the user was taking contract work and stated he planned to contract-test a GTM Engineer before investing in full-time headcount. The 2025-08-14 call was completed; a service agreement was signed 2025-09-04 and paid contract work followed. [User reconciliation 2026-08-30] The one interview was with Heath. [Origin refinement 2026-08-30] Heath relationship originated through GTM per_b37e658c1fd8.
Application email: appreview.gem.com,ClassDojo,RevOps Lead,Revenue & GTM Operations,Exact title present in source evidence,2025-08-08,REJECTED,UNKNOWN,ClassDojo + RevOps Lead + 2025-08-08,Earliest documented email is rejection; application date unknown.
Application email: switchyards.com,Switchyards,Launch Manager,"Product, Technical & AI",Exact title present in source evidence,2025-08-08,REJECTED,UNKNOWN,Switchyards + Launch Manager + 2025-08-08,Rejected 2025-08-19.
LinkedIn recruiter/person outbound: per_e92870805d56 / Soliant,Soliant,"Account Executive (Atlanta, GA)","Account Executive, Sales & Sales Leadership",Exact title present in source evidence,2025-08-07,GHOSTED,UNKNOWN,"Soliant + Account Executive (Atlanta, GA) + 2025-08-07","LinkedIn thread with per_e92870805d56 (Recruiter (internal, Corporate Recruiter)); source stage: Ghosted; confidence: High. Kelly reached out off your 'open to work' status for an AE role starting October, followed up a week later. You replied 'Tell me more' on 08/15 — nothing after. Atlanta office, October start mentioned."
ATS: Ashby,Ambrook,Partnerships Lead,Partnerships & Commercial,Exact title present in source evidence,2025-08-06,GHOSTED,UNKNOWN,Ambrook + Partnerships Lead + 2025-08-06,Distinct role from 2026 Business Operations application.
LinkedIn recruiter/person outbound: per_d41190230326 / Outlier,Outlier,Part-Time Graphic Design (remote gig),"Research, Education, Freelance & Other",Exact title present in source evidence,2025-08-06,GHOSTED,UNKNOWN,Outlier + Part-Time Graphic Design (remote gig) + 2025-08-06,LinkedIn thread with per_d41190230326 (Recruiter (platform)); source stage: Ghosted; confidence: Medium. Second Outlier touch — ~$1.2K/week AI freelance platform gig pitched off your graphic-design background. Not replied to. ~$1.2K/week gig claim.
ATS: Lever,Crypto.com,Product Growth Hacker: Exchange & Main App,"Growth, Demand Generation & Marketing",Exact title present in source evidence,2025-08-05,REJECTED,UNKNOWN,Crypto.com + Product Growth Hacker: Exchange & Main App + 2025-08-05,"Rejection shortened title to Product Growth Hacker, Exchange; merged provisionally."
ATS: Greenhouse,Seamless.AI,Sales Development Representative (9–5 EST Remote US),Sales Development & Business Development,Exact title present in source evidence,2025-08-05,REJECTED,UNKNOWN,Seamless.AI + Sales Development Representative (9–5 EST Remote US) + 2025-08-05,Rejected 2025-08-07.
Application email: myworkday.com,4flow,Director - Go To Market Strategy,"GTM Strategy, Leadership & Generalist",Exact title present in source evidence,2025-08-04,GHOSTED,UNKNOWN,4flow + Director - Go To Market Strategy + 2025-08-04,—
LinkedIn recruiter/person outbound: per_cf485281aa8e / AutoLeap,AutoLeap,Sales Development Representative,Sales Development & Business Development,Exact title present in source evidence,2025-08-04,GHOSTED,UNKNOWN,AutoLeap + Sales Development Representative + 2025-08-04,LinkedIn thread with per_cf485281aa8e (Recruiter (agency)); source stage: Ghosted; confidence: High. Recruiter pitched an outbound SDR role; you replied asking 'any GTM efforts?' — no response. Your reply shows the SDR→GTME filter you apply to inbound.
Application email: axon.com,Axon,"Manager, Go-to-Market Readiness","Enablement, Adoption & Education",Exact title present in source evidence,2025-08-04,GHOSTED,UNKNOWN,"Axon + Manager, Go-to-Market Readiness + 2025-08-04",—
Application email: itcinfotech.com,ITC Infotech,Manager - Business Development,Sales Development & Business Development,Exact title present in source evidence,2025-08-04,GHOSTED,UNKNOWN,ITC Infotech + Manager - Business Development + 2025-08-04,—
ATS: Greenhouse,OnBoard,GTM Engineer,GTM Engineering,Exact title present in source evidence,2025-08-04,GHOSTED,UNKNOWN,OnBoard + GTM Engineer + 2025-08-04,Interview availability requested 2025-08-13; scheduling/completion not established.
LinkedIn application → downstream confirmation: Application email: proteantecs.comeet-notifications.com,proteanTecs,Sales Development Representative,Sales Development & Business Development,Exact title present in source evidence,2025-08-04,REJECTED,UNKNOWN,proteanTecs + Sales Development Representative + 2025-08-04,Earliest documented email is rejection; application date unknown. LinkedIn Easy Apply/export record: job ID 4279583412; application date 2025-08-04; http://www.linkedin.com/jobs/view/4279583412
ATS: Greenhouse,Hex,Sales Development Representative,Sales Development & Business Development,Exact title present in source evidence,2025-07-31,GHOSTED,UNKNOWN,Hex + Sales Development Representative + 2025-07-31,—
ATS: Rippling,Galileo,GTM Engineer,GTM Engineering,Exact title present in source evidence,2025-07-28,REJECTED,UNKNOWN,Galileo + GTM Engineer + 2025-07-28,Earliest documented message is rejection/position filled; application date unknown. Duplicate same-thread email was deduplicated.
Jobright.ai application (Manual/Unspecified) → downstream confirmation: ATS: Lever,90 Seconds,(Senior) Business Development Manager - Enterprise (US),Sales Development & Business Development,Exact title present in source evidence,2025-07-27,GHOSTED,UNKNOWN,90 Seconds + (Senior) Business Development Manager - Enterprise (US) + 2025-07-27,Role absent; 21+ days after last activity. Jobright log: Manual/Unspecified; United States; Remote; Not stated.
Jobright.ai application (Manual/Unspecified) → downstream confirmation: ATS: Rippling,Anaconda,Senior Business Development Representative,Sales Development & Business Development,Exact title present in source evidence,2025-07-27,GHOSTED,UNKNOWN,Anaconda + Senior Business Development Representative + 2025-07-27,— Jobright log: Manual/Unspecified; United States; Remote; Not stated.
ATS: Rippling,GTP Software,Revenue Enablement Manager,"Enablement, Adoption & Education",Exact title present in source evidence,2025-07-27,GHOSTED,UNKNOWN,GTP Software + Revenue Enablement Manager + 2025-07-27,—
Application email: phiture.com,Phiture,US Growth Lead - Mobile Marketing Strategist,"Growth, Demand Generation & Marketing",Exact title present in source evidence,2025-07-27,GHOSTED,UNKNOWN,Phiture + US Growth Lead - Mobile Marketing Strategist + 2025-07-27,—
Jobright.ai application (Manual/Unspecified) → downstream confirmation: ATS: Ashby,Replit,Sales Engineer,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2025-07-27,REJECTED,UNKNOWN,Replit + Sales Engineer + 2025-07-27,— Jobright log: Manual/Unspecified; Foster City; Onsite; $150K/yr - $235K/yr.
Application email: notifications.dover.io,Shaped,Founding SDR,Sales Development & Business Development,Exact title present in source evidence,2025-07-27,GHOSTED,UNKNOWN,Shaped + Founding SDR + 2025-07-27,—
Jobright.ai application (Manual/Unspecified) → downstream confirmation: ATS: Ashby,Stedi,GTM Strategy & Operations,Revenue & GTM Operations,Exact title present in source evidence,2025-07-27,GHOSTED,UNKNOWN,Stedi + GTM Strategy & Operations + 2025-07-27,Role absent; 21+ days after last activity. Jobright log: Manual/Unspecified; United States; Remote; $140K/yr - $200K/yr.
Jobright.ai application (Manual/Unspecified) → downstream confirmation: ATS: Greenhouse,Volley,Senior Business Development Manager,Sales Development & Business Development,Exact title present in source evidence,2025-07-27,GHOSTED,UNKNOWN,Volley + Senior Business Development Manager + 2025-07-27,Role unresolved. Jobright log: Manual/Unspecified; San Francisco; Hybrid; $155K/yr - $213K/yr.
ATS: Greenhouse,Weave,Business Development Manager,Sales Development & Business Development,Exact title present in source evidence,2025-07-27,REJECTED,UNKNOWN,Weave + Business Development Manager + 2025-07-27,Application confirmed 2025-07-27; rejected 2025-07-31.
Cold outreach I initiated,Inertia Growth,Outbound Campaign Manager,"Growth, Demand Generation & Marketing",Exact title present in source evidence,2025-07-26,REJECTED,0,Inertia Growth + Outbound Campaign Manager + 2025-07-26,"User initiated contact using the subject 'GTME role.' The company clarified Outbound Campaign Manager, scheduled/rescheduled an intro call, then canceled it and rejected the application before the call occurred."
ATS: Lever,Exa Labs Inc.,Growth Lead,"Growth, Demand Generation & Marketing",Exact title present in source evidence,2025-07-25,GHOSTED,UNKNOWN,Exa Labs Inc. + Growth Lead + 2025-07-25,21+ days after last Step 1 activity.
Application email: slingshot.xyz,Slingshot AI,Conversation Designer,"Product, Technical & AI",Exact title present in source evidence,2025-07-25,REJECTED,UNKNOWN,Slingshot AI + Conversation Designer + 2025-07-25,Rejected 2025-07-28.
Community/recruiter outbound: per_bf9503ab6149 → per_256c539cee37 / Starbridge,Starbridge,Founding GTM Engineer,Founding GTM,Exact title present in source evidence,2025-07-25,REJECTED,0,Starbridge + Founding GTM Engineer + 2025-07-25,"per_256c539cee37 sourced the user from the Clay Slack community using LLM scoring and introduced Head of Growth Henry Bell. A 2025-08-01 call was booked, then canceled before it occurred because the team found another candidate. LinkedIn follow-up corroborates that the team selected another candidate and the relationship stayed warm."
Community origin — GTM per_b37e658c1fd8 → per_1c50a16713f2 / AirOps → thecannonproject,AirOps → thecannonproject,GTM Engineer,GTM Engineering,Exact title present in source evidence,2025-07-24,GHOSTED,UNKNOWN,AirOps → thecannonproject + GTM Engineer + 2025-07-24,"LinkedIn thread with per_1c50a16713f2 (Internal Employee → Recruiter); source stage: Ongoing; confidence: High. Longest-running job thread. Eoin shared AirOps openings early (Nick is hiring manager, NY/SF preferred), told you 11/28/25 he was hiring a GTME deep in Clay, and after leaving AirOps in June 2026 landed at thecannonproject doing growth hiring — 'Will have a good few gtme roles in a couple weeks if that's what you're down for.' You confirmed GTME is the aim; long-term want forward-deployed/product. AirOps careers link shared 07/26/25. 07/13/26: Eoin recruiting VP Marketing/Head of Growth/growth hires 2-5 into thecannonproject companies. You: 'ready to move to SF when you need me.' [Origin refinement 2026-08-30] First met Eoin when he presented at GTM per_b37e658c1fd8; later job-related thread spans AirOps and thecannonproject."
LinkedIn recruiter/person outbound: per_80470c6017a0 / Protecht,Protecht,SDR — Outbound Enterprise B2B,Sales Development & Business Development,Exact title present in source evidence,2025-07-17,GHOSTED,UNKNOWN,Protecht + SDR — Outbound Enterprise B2B + 2025-07-17,LinkedIn thread with per_80470c6017a0 (Recruiter (internal)); source stage: Ghosted; confidence: High. Protecht re-advertised a role you'd applied to back in January 2025 and asked if you were still looking. No reply visible in thread. Tied to your 01/07/2025 application (Jobs data).
Application email: careers.scaleops.com,ScaleOps,Sales Engineer - USA,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2025-07-17,GHOSTED,UNKNOWN,ScaleOps + Sales Engineer - USA + 2025-07-17,—
Recruiter re-engagement via Workable,Small Business Growth Alliance (SBGA),Remote Sales / Independent Business Consultant,"Account Executive, Sales & Sales Leadership",Exact title present in source evidence,2025-07-10,GHOSTED,UNKNOWN,Small Business Growth Alliance (SBGA) + Remote Sales / Independent Business Consultant + 2025-07-10,Prior application date unknown; 1 call scheduled then canceled; one-way video requested.
LinkedIn application,SWARM,Sales Engineer,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2025-07-09,GHOSTED,UNKNOWN,SWARM + Sales Engineer + 2025-07-09,LinkedIn application export; job ID 4262182906; http://www.linkedin.com/jobs/view/4262182906
LinkedIn application,ClosedWon Talent,Founding Account Executive,"Account Executive, Sales & Sales Leadership",Exact title present in source evidence,2025-07-08,GHOSTED,UNKNOWN,ClosedWon Talent + Founding Account Executive + 2025-07-08,LinkedIn application export; job ID 4264156893; http://www.linkedin.com/jobs/view/4264156893
Cold outreach I initiated via LinkedIn: benyamin (🏍) / Cyft,Cyft,Growth team role,"Growth, Demand Generation & Marketing",Exact title present in source evidence,2025-07-08,GHOSTED,UNKNOWN,Cyft + Growth team role + 2025-07-08,LinkedIn thread with benyamin (🏍) (Unknown); source stage: Ghosted; confidence: Medium. You opened with a video message; benyamin responded with a 'cyft-growth-team-interview' Calendly link. No further messages — unclear if the interview happened. Interview link: calendly.com/benyaminholley/cyft-growth-team-interview.
LinkedIn application,Abacus.AI,Senior Sales Development Representative,Sales Development & Business Development,Exact title present in source evidence,2025-07-07,GHOSTED,UNKNOWN,Abacus.AI + Senior Sales Development Representative + 2025-07-07,LinkedIn application export; job ID 4248933333; http://www.linkedin.com/jobs/view/4248933333
LinkedIn application → downstream confirmation: ATS: Workable,Applause,Enterprise SDR,Sales Development & Business Development,Exact title present in source evidence,2025-07-07,REJECTED,UNKNOWN,Applause + Enterprise SDR + 2025-07-07,— LinkedIn Easy Apply/export record: job ID 4226839920; application date 2025-07-07; http://www.linkedin.com/jobs/view/4226839920
LinkedIn application,Brainfish,Sales Development Representative (SDR) – Dive into AI with Brainfish!,Sales Development & Business Development,Exact title present in source evidence,2025-07-07,GHOSTED,UNKNOWN,Brainfish + Sales Development Representative (SDR) – Dive into AI with Brainfish! + 2025-07-07,LinkedIn application export; job ID 4258745247; http://www.linkedin.com/jobs/view/4258745247
LinkedIn application,JetBridge AI,Sr. SDR for Profitable AI Startup,Sales Development & Business Development,Exact title present in source evidence,2025-07-07,GHOSTED,UNKNOWN,JetBridge AI + Sr. SDR for Profitable AI Startup + 2025-07-07,LinkedIn application export; job ID 4263460747; http://www.linkedin.com/jobs/view/4263460747
Recruiting marketplace: Search With Jack,Stealth company via per_1b05c163b351,Growth Lead,"Growth, Demand Generation & Marketing",Exact title present in source evidence,2025-07-07,GHOSTED,UNKNOWN,Stealth company via Search With Jack + Growth Lead + 2025-07-07,Top-applicant/next-steps message; no final outcome.
ATS: Greenhouse,Headway,Growth Marketing Specialist,"Growth, Demand Generation & Marketing",Exact title present in source evidence,2025-07-03,GHOSTED,UNKNOWN,Headway + Growth Marketing Specialist + 2025-07-03,—
LinkedIn application,JetBridge AI,Sr. SDR for Profitable AI Startup,Sales Development & Business Development,Exact title present in source evidence,2025-07-03,GHOSTED,UNKNOWN,JetBridge AI + Sr. SDR for Profitable AI Startup + 2025-07-03,LinkedIn application export; job ID 4253955472; http://www.linkedin.com/jobs/view/4253955472
ATS: Rippling,Galileo,Growth Engineer,"Growth, Demand Generation & Marketing",Exact title present in source evidence,2025-07-02,GHOSTED,UNKNOWN,Galileo + Growth Engineer + 2025-07-02,Separate role from later GTM Engineer application.
LinkedIn recruiter/person outbound: per_4a1aca043b81 → per_950db4b78993 / UNKNOWN — per_950db4b78993's company,UNKNOWN — per_950db4b78993's company,GTM Engineer,GTM Engineering,Exact title present in source evidence,2025-07-01,GHOSTED,UNKNOWN,UNKNOWN — per_950db4b78993's company + GTM Engineer + 2025-07-01,"LinkedIn thread with per_4a1aca043b81 → per_950db4b78993 (Internal Employee (referral intro)); source stage: Ghosted; confidence: High. Marina made a group intro: 'You two should chat about the GTME role brewing.' You sent a video and your calendar link, followed up 'Lmk!' a week later — no response. Warm intro that went nowhere; follow-up unanswered."
LinkedIn application,Bitovi,AI Enablement Engineer,"Enablement, Adoption & Education",Exact title present in source evidence,2025-06-30,GHOSTED,UNKNOWN,Bitovi + AI Enablement Engineer + 2025-06-30,LinkedIn application export; job ID 4248506953; http://www.linkedin.com/jobs/view/4248506953
LinkedIn application → downstream confirmation: ATS: Greenhouse,Gigs,Solutions Engineer,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2025-06-30,GHOSTED,UNKNOWN,Gigs + Solutions Engineer + 2025-06-30,Role absent; 21+ days after last activity. LinkedIn Easy Apply/export record: job ID 4256302106; application date 2025-06-30; http://www.linkedin.com/jobs/view/4256302106
Community origins — Clay Café (now per_66bf50b3ebda / gtmcafe.com) #jobsandopportunities,Pinn,Outbound Business Development role (exact title unresolved),Sales Development & Business Development,Functional role recovered; formal title remains unresolved (was UNKNOWN),2025-06-30,REJECTED,2,Pinn + Outbound Business Development role (exact title unresolved) + 2025-06-30,Two completed interview rounds: per_86f980dc0b0e and then per_51b7bec8d81b. Erica's rejection explicitly references the second interview. [User reconciliation 2026-08-30] Opportunity originated in per_66bf50b3ebda #jobsandopportunities; exact formal title remains unresolved.
LinkedIn application,ScoutLab.io,"Brand New Role! - AI FinTech Heavyweight! - Solutions Engineer  – Series B equity - $150k Base, Generous Bonus Structure -Remote – EST and CST Only","Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2025-06-30,GHOSTED,UNKNOWN,"ScoutLab.io + Brand New Role! - AI FinTech Heavyweight! - Solutions Engineer  – Series B equity - $150k Base, Generous Bonus Structure -Remote – EST and CST Only + 2025-06-30",LinkedIn application export; job ID 4259485146; http://www.linkedin.com/jobs/view/4259485146
Recruiter outbound: per_e5806b792070 / Clipboard Health,Clipboard Education,Full Cycle Sales Representative,"Account Executive, Sales & Sales Leadership",Exact title present in source evidence,2025-06-26,GHOSTED,UNKNOWN,Clipboard Education + Full Cycle Sales Representative + 2025-06-26,Invite-only recruiter outreach for a specific role. No evidence the user replied or applied; GHOSTED is the closest available taxonomy bucket for an inactive 21+ day thread.
ATS: Ashby,Runway,Go-To-Market AI Engineer,GTM Engineering,Exact title present in source evidence,2025-06-26,GHOSTED,UNKNOWN,Runway + Go-To-Market AI Engineer + 2025-06-26,21+ days after last Step 1 activity.
ATS: Greenhouse,Trace3,Sales Development Representative,Sales Development & Business Development,Exact title present in source evidence,2025-06-25,REJECTED,UNKNOWN,Trace3 + Sales Development Representative + 2025-06-25,Earliest documented email says position filled; application date unknown.
LinkedIn recruiter/person outbound: per_2209a6edb4d8 / Thrivent,Thrivent,Financial Advisor,Financial Services & Advisory,Exact title present in source evidence,2025-06-23,GHOSTED,UNKNOWN,Thrivent + Financial Advisor + 2025-06-23,LinkedIn thread with per_2209a6edb4d8 (Internal Employee (team lead)); source stage: Ghosted; confidence: Medium. Atlanta connection who leads a financial advisor team at Thrivent pitched joining his team. Replied once on 07/07 saying you're no finance guru but open depending on need; thread died. Insurance/financial-services recruiting pattern.
ATS: Greenhouse,Circle,"GTM Engineer, Outbound",GTM Engineering,Exact title present in source evidence,2025-06-20,GHOSTED,UNKNOWN,"Circle + GTM Engineer, Outbound + 2025-06-20",—
LinkedIn application,Datricks,Sales Engineer - US (Remote),"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2025-06-20,GHOSTED,UNKNOWN,Datricks + Sales Engineer - US (Remote) + 2025-06-20,LinkedIn application export; job ID 4251747717; http://www.linkedin.com/jobs/view/4251747717
LinkedIn recruiter/person outbound: per_9db8338eca56 / Speakeasy Inc.,Speakeasy Inc.,Sales Consultant,"Account Executive, Sales & Sales Leadership",Exact title present in source evidence,2025-06-17,GHOSTED,UNKNOWN,Speakeasy Inc. + Sales Consultant + 2025-06-17,LinkedIn thread with per_9db8338eca56 (Recruiter (internal)); source stage: Ghosted; confidence: High. Single-touch InMail about a Sales Consultant role at an Atlanta communication consulting firm. Never replied to. Uncapped commission structure mentioned.
ATS: Greenhouse,Drata,Sales Development Representative (Remote),Sales Development & Business Development,Exact title present in source evidence,2025-06-16,REJECTED,UNKNOWN,Drata + Sales Development Representative (Remote) + 2025-06-16,Earliest documented email is rejection; application date unknown.
LinkedIn application,Databar.ai,GTM Engineer (Growth & Sales),"Growth, Demand Generation & Marketing",Exact title present in source evidence,2025-06-14,GHOSTED,UNKNOWN,Databar.ai + GTM Engineer (Growth & Sales) + 2025-06-14,LinkedIn application export; job ID 4233227991; http://www.linkedin.com/jobs/view/4233227991
Application email: smartmode.ai,SmartMode AI,AI & Automation Sales Agent,"Account Executive, Sales & Sales Leadership",Exact title present in source evidence,2025-06-06,GHOSTED,UNKNOWN,SmartMode AI + AI & Automation Sales Agent + 2025-06-06,Screening/interview process discussed; scheduling/completion not established.
Application email: meshy.ai,Meshy,Business Development Manager,Sales Development & Business Development,Resolved from a same-period LinkedIn Saved Jobs record,2025-06-01,REJECTED,UNKNOWN,Meshy + Business Development Manager + 2025-06-01,Earliest documented email is rejection; role and application date unknown. Evidence amendment accepted 2026-08-30: A same-period LinkedIn Saved Jobs record identifies Meshy's opening as Business Development Manager.
